Index[#version],Pointer[#version|],Original,Translated
000,0x92314#kabuto|0x92316#kuwagata,はっはあ-っん<CD><*02>,
001,0x92316#kabuto|0x92318#kuwagata,ふっふ-ん♥<CD><*02>,
002,0x92318#kabuto|0x9231a#kuwagata,かよわい 女の子だからって<CD>手を ぬかないでよ!<*02>,Don't go easy on me just<D3>because I'm a girl!<*02>
003,0x9231a#kabuto|0x9231c#kuwagata,も-ちょっと 手かげんしてくれたって<CD>い-じゃない!<*02>,"Jeez, you could go at least<D3><f02>little<f00> easier on me!<*02>"
004,0x9231c#kabuto|0x9231e#kuwagata,わたしと ロボトル<CD>おねがいできますか?<*02>,Would you like to Robattle<D3>with me?<*02>
005,0x9231e#kabuto|0x92320#kuwagata,あリがとうございます<CD>たのしかったですわ<*02>,Thank you. That was fun!<*02>
006,0x92320#kabuto|0x92322#kuwagata,せいせいどうどう おれと<CD>しょうぶしろっ!<*02>,Let's have a fair clean fight!<*02>
007,0x92322#kabuto|0x92324#kuwagata,しょうぶなら いつでも<CD>うけて立ってやる!<*02>,I'll take you on anytime!<*02>
008,0x92324#kabuto|0x92326#kuwagata,あんたなんかにぃ<CD>まけて あげないんだからぁ!<*02>,I won't lose to the likes<D3>of you!<*02>
009,0x92326#kabuto|0x92328#kuwagata,いつまでも い-気に なってんじゃ<CD>ないわよぉ!<*02>,Don't let this win get to<D3>your head!<*02>
010,0x92328#kabuto|0x9232a#kuwagata,この てんさいハッカ-と 言われた<CD>おれの じつリょくを 貝せてやるぜ!<*02>,"I'll show you why they call me<D3>an ""Elite Hacker""!<*02>"
011,0x9232a#kabuto|0x9232c#kuwagata,あねごに 勝つまで<CD>おれに 勝ったと 思うなぁ!<*02>,You haven't beaten me until<D3>you've beaten our boss!<*02>
012,0x9232c#kabuto|0x9232e#kuwagata,ふくが どろんこに なるまで<CD>とことん やっつけてやる!<*02>,I'll beat you 'til you<D3>soil yourself!<*02>
013,0x9232e#kabuto|0x92330#kuwagata,なんで いつも こうなっちゃうの?<CD><*02>,Why do things always turn out<D3>like this...?<*02>
014,0x92330#kabuto|0x92332#kuwagata,ボクが あいてを してあげよう<CD><*02>,I'll be your opponent. <*02>
015,0x92332#kabuto|0x92334#kuwagata,ちょっとは やるようだね<CD><*02>,"You're pretty good, huh.<*02>"
016,0x92334#kabuto|0x92336#kuwagata,はぁ-い ボウヤ<CD>ミルキ-が まほうをかけてあげるわ♥<*02>,"Heeyyy boy, I, Milky, will cast<D3>a spell on you!<*02>"
017,0x92336#kabuto|0x92338#kuwagata,あ-あ キミには<CD>こどもだましは つうじなかったようね<*02>,"Aw man, I guess my party<D3>tricks didn't fool you...<*02>"
018,0x92338#kabuto|0x9233a#kuwagata,ふっ...しょうねんよ<CD>わたしを こえられるかな?<*02>,"Hmph... you think you can<D3>surpass me, boy?<*02>"
019,0x9233a#kabuto|0x9233c#kuwagata,ぼ-いず び- あんびしゃす!<CD>しょうねんよ...なんだっけな?<*02>,"What is it they say again?<D3><f01>""Boys be ambitious!""<f00>... I think?<*04>"
020,0x9233c#kabuto|0x9233e#kuwagata,わたしの カレ-なるワザに<CD>ついてこられるかな?<*02>,Can you keep up with my<D3>grand skills?<*02>
021,0x9233e#kabuto|0x92340#kuwagata,おみごと!<CD>これからも そのちょうしでね!<*02>,Splendid!<D3>That's the spirit!<*02>
022,0x92340#kabuto|0x92342#kuwagata,お前さんは メダチェンジを<CD>使いこなせて おるかな?<*02>,Have you mastered the art of<D3>Medachange yet?<*02>
023,0x92342#kabuto|0x92344#kuwagata,なかなか みごとな 院前じゃ!<CD><*02>,Such impeccable skill!<*02>
024,0x92344#kabuto|0x92346#kuwagata,おあいてして いただけますか?<CD><*02>,May I Robattle with you?<*02>
025,0x92346#kabuto|0x92348#kuwagata,とても ベんきょうに なリました<CD>あリがとうございました<*02>,I learned a lot from<D3>our battle. Thank you.<*02>
026,0x92348#kabuto|0x9234a#kuwagata,ぼくに かてたら パ-ツをやるよ<CD><*02>,"If you beat me, I'll give you<D3>one of my parts.<*02>"
027,0x9234a#kabuto|0x9234c#kuwagata,おこづかいが ぜんぶ<CD>メダロットに とんでゆく...<*02>,I spent my entire allowance<D3>on these bots...<*02>
028,0x9234c#kabuto|0x9234e#kuwagata,たたかえ! きぎょうせんし!<CD>あかるい あすは きっとくる!<*02>,"Fight, o corporate warriors!<D3>A bright tomorrow shall come!<*02>"
029,0x9234e#kabuto|0x92350#kuwagata,まだまだ ふけいきが つづきそうだな<CD><*02>,It seems business will continue<D3>to be poor for a while...<*02>
030,0x92350#kabuto|0x92352#kuwagata,どいとくれよ!<CD>しゅふは いそがしいんだからね!<*02>,Move aside!<D3>Can't you see I'm busy?<*02>
031,0x92352#kabuto|0x92354#kuwagata,せいかくのいい メダロットなら<CD>うちのこよリ やくにたつよ!<*02>,
032,0x92354#kabuto|0x92356#kuwagata,ボロトルは いくつになっても<CD>やめられんのぉ<*02>,I can't stop robattling no matter how old I get.<*02>
033,0x92356#kabuto|0x92358#kuwagata,ボトルロは やはリ むずかしいのぉ<CD><*02>,Borattles are still tricky.<*02>
034,0x92358#kabuto|0x9235a#kuwagata,あたしだって まだ わかいもんには<CD>まけないよ<*02>,I won't lose to a youngster<D3>like you!<*02>
035,0x9235a#kabuto|0x9235c#kuwagata,わかいって いいねェ<CD><*02>,Oh to be young again...<*02>
036,0x9235c#kabuto|0x9235e#kuwagata,キミのメダロットを<CD>みせてもらうよ<*02>,Show me your Medarots!<*02>
037,0x9235e#kabuto|0x92360#kuwagata,フフフッ<CD>デ-タは とらせてもらったよ<*02>,Fufufu<D3>You let me take your data!<*02>
038,0x92360#kabuto|0x92362#kuwagata,しっぷうのごとく きる!<CD><*02>,I'll blow you down like a<D3>strong gale!<*02>
039,0x92362#kabuto|0x92364#kuwagata,...そして しっぷうのごとく<CD>やぶれたリ!<*02>,"... And as if by a strong gale,<D3>I was blown down!<*02>"
040,0x92364#kabuto|0x92366#kuwagata,おれの メダロットを<CD>貝てくれ!<*02>,Check out my Medarots!<*02>
041,0x92366#kabuto|0x92368#kuwagata,ああ-っ!!<CD>おれの メダロットちゃんがっ!<*02>,"Aaah, no!! My poor Medarots!<*02>"
042,0x92368#kabuto|0x9236a#kuwagata,メダロットは<CD>おとこのこ だけのものじゃ ないよ<*02>,"Medarots aren't just for <D3>boys, you know!<*02>"
043,0x9236a#kabuto|0x9236c#kuwagata,え-ん<CD>けっこう じしんあったのにィ<*02>,"Hmph, I was so confident I'd<D3>win too...<*02>"
044,0x9236c#kabuto|0x9236e#kuwagata,ロボトルのよわい カレなんて<CD>カッコわるいわよね-<*02>,A boyfriend who can't win any<D3>Robattles is no good!<*02>
045,0x9236e#kabuto|0x92370#kuwagata,も- しんじらんな-い!<CD>オトコって すぐ あつくなるんだから<*02>,"Oh, jeez!! Guys are just way<D3>too hotheaded! <*02>"
046,0x92370#kabuto|0x92372#kuwagata,わたしは しごとも ロボトルも<CD>てを ぬかないわよ!<*02>,I can't let up on my job or<D3>Robattling!<*02>
047,0x92372#kabuto|0x92374#kuwagata,ロボトルばっかリ つよくても<CD>いいかいしゃに はいれないわよ<*02>,Just being good at robattling<D3>won't get you a good job. <*02>
048,0x92374#kabuto|0x92376#kuwagata,ロボトルは しんけんしょうぶで<CD>ございま-す!<*02>,A truly serious robattle!<*02>
049,0x92376#kabuto|0x92378#kuwagata,またの おこしを<CD>おまちして おリま-す!<*02>,I look forward to facing you again!<*02>
050,0x92378#kabuto|0x9237a#kuwagata,おね-さんが あそんであ.げ.る♥<CD><*02>,Lil' ole me will play with you ♥<*02>
051,0x9237a#kabuto|0x9237c#kuwagata,ウフフッ♥ またねぇ<CD><*02>,Uhuhu ♥ See ya.<*02>
052,0x9237c#kabuto|0x9237e#kuwagata,われわれの おそろしさを<CD>思い知るロボ!<*02>,"Learn just how dreadful<D3>we are, robo<*02>"
053,0x9237e#kabuto|0x92380#kuwagata,おたすけロボ-ッ!!<CD><*02>,"Help, robo!!<D3><*02>"
054,0x92380#kabuto|0x92382#kuwagata,ふっふっふ<CD>さいごは あくが 勝つのだ!<*02>,"Fufufu<D3>In the end, evil will win!<*02>"
055,0x92382#kabuto|0x92384#kuwagata,く-------っ!!<CD>これで おわったと 思うな!<*02>,Kuuuuuh!!<D3>Don't think this is the end!<*02>
056,0x92384#kabuto|0x92386#kuwagata,お-ほほほほほほほ!! わたくしを<CD>おこらせると こうかいしますことよ!<*02>,
057,0x92386#kabuto|0x92388#kuwagata,いつか 本当に<CD>こうかい させてやリますことよ!<*02>,
058,0x92388#kabuto|0x9238a#kuwagata,ふぉっふぉっふぉっ<CD>わしに 勝てる気で おるのか?<*02>,
059,0x9238a#kabuto|0x9238c#kuwagata,子どもは なまいきだから<CD>気に 食わんのじゃ!<*02>,
060,0x9238c#kabuto|0x9238e#kuwagata,てんさい ようちえんじ サラミが<CD>あいてに なるでしゅ!<*02>,
061,0x9238e#kabuto|0x92390#kuwagata,あたちの IQは<CD>180も あるんでしゅよ!<*02>,
062,0x92390#kabuto|0x92392#kuwagata,わしと おぬしの どちらが<CD>メダルを うまく そだてとるかな?<*02>,
063,0x92392#kabuto|0x92394#kuwagata,やるもんじゃな がはは!<CD><*02>,
064,0x92394#kabuto|0x92396#kuwagata,よいこのヒ-ロ- セレクトスリ-<CD>ただいま さんじょう!!<*02>,
065,0x92396#kabuto|0x92398#kuwagata,それでは また らいしゅう<CD>こう ごきたい!!<*02>,
066,0x92398#kabuto|0x9239a#kuwagata,入威きぼう者<CD>ぼしゅう中で あリます!<*02>,
067,0x9239a#kabuto|0x9239c#kuwagata,いちど 入ったら<CD>さいごで あリます!<*02>,
068,0x9239c#kabuto|0x9239e#kuwagata,こうせいのうの ぼくに<CD>きみが かてるの?<*02>,
