Pointer[#version],Original,Translated
0x1e0000,<@0710>ウう う-ん<CD>もう ダメぞ...,
0x1e0002,<@0710>ウう-ん う-ん<CD>ぶくの <K0F>に ゴキブリァ...<CF><P>オうなされてる...,
0x1e0004, アノマロカリス<K2F> メダロットの<CD>「シ-キャッチャ-」ぞ<CF><P>こぞいせいびつって <KD3><KB6>に<CD>こんなんぞったのかな...,
0x1e0006, ハルキゲニア<K2F> メダロットの<CD>「シ-モンスタ-」ぞ<CF><P>かなリ きけんな デザインぞ,
0x1e0008, イミテ-ションの メダルぞ<CD>ざっけんとかに <KED>うのかなZ,
0x1e000a, わくせいシリ-ズ<CD>「メダマ-ズ」,
0x1e000c, わくせいシリ-ズ<CD>「メダア-ス」,
0x1e000e, わくせいシリ-ズ<CD>「メダジュピタ-」,
0x1e0010, わくせいシリ-ズ<CD>「メダヴィ-ナス」,
0x1e0012,<@1410> ラ-ラ-♪ ♪♪ラリラ-♪<CD>ア♪アアアア---♪ ♪ア♪<CF><P>カせ <K87><K80> しっかリ?<CD>ぞいざょうびづすかっ?Z,
0x1e0014,<@1410> <K0D>ぞねZ キミは<CF><P><K87><K80>は はっせい れんしゅう<KA2>なんぞ<CD>ざゃまするんざゃない?<CF><P>エは はっせい れんしゅうづすか...<CD>(さけば<K81>かと <K57>った),
0x1e0016,<@1B10> あんなに オンチな <K0B><K1E>の<K87><K80>も<CD>めじらしいよね-,
0x1e0018,<@1310> <K87><K80>の<K81>ァ <K5E>に<KBF>らないように<CD>づきるぞけ はなれてるんぞ,
0x1e001a, あれZ キクヒメ<CD>1<K79>づいるなんて めじらしいな<CF><P><@0510>エ<K0D>よぉ もんくあるぅ-Z,
0x1e001c,<@1310> スクリュ-ズなんて<CD>こわくない...こわくない...,
0x1e001e,<@1B10> スクリュ-ズと おなざクラスに<CD>なるなんて うんァ わるいったら?,
0x1e0020,<@3010> ベんきょうしても ざゅくれんでは<CD><K71>ァらないかなZ,
0x1e0022,<@1310> メダロットに ベんきょうさせても<CD>せいせきは <K71>ァらないかなZ,
0x1e0024,<@1D10> メダロットの<KD1>ァ おぶえァよくて<CD>こまっちゃう,
0x1e0026,<@1B10> でんな メダロットづも<CD><K5F><KCA>ァ そぞてた メダロットは<CF><P>かわいいわね?,
0x1e0028,カあ? ここはっ...?,
0x1e002a,<@1B10> きゃ--------っ??<CD>エッチ??,
0x1e002c,<@1B10> <K8F>く <K69>てってよ もうっ?,
0x1e002e,カげ げめんっ?,
