Index[#version],Pointer,Original,Translated
000,0x238000,"<@LL,00,06>うっ?<CF><D1><@LL,00,07>わあ?<CF><D1><@LL,00,03>ヘえ...<CF><D1><@LL,00,00>ふ-ん<CF><D1><@LL,00,01>あはははは?<CF><D1><@LL,00,00>...つまリ ロボロボかんびたちは<CD>みんな つかまったって ことか<CF><D1><@LL,00,04>もう ミニミニマシ-ンも<CD>使えないなら ひとあんしんかな",
001,0x238002,"<@LL,00,00>ここからざゃ 画面ァ<CD>貝えにくいよ",
002,0x238004,"<@LL,00,00>とリぞめしてた 週刊メダロットの<CD>ビデオづも 貝よう",
003,0x238006,"<@LL,00,07>すげい? こんな 新しょうひんァ?<CD>ほし-?",
004,0x238008,"<@LL,00,01>あ- 面自かった?",
005,0x23800a,"<@LL,00,00>けんどいきぞ<CF><D1>マリンチケットは 1まい<CD>300¥ぞって 買おっかなZ<*04>",
006,0x23800c,"<@LL,00,00>今は いいや",
007,0x23800e,"<@LL,00,03>お金ァ 足リないや...",
008,0x238010,"<@LL,00,00>アンダ-シェルに 行くZ<*04>",
009,0x238012,"<@LL,00,00>チケットァ ないや<CD>けんどいきづ 買わなきゃ",
010,0x238014,"<@LL,00,00>アンダ-シェルに 行くZ<*04>",
011,0x238016,"<@LL,00,00>チケットァ ないや<CD>けんどいきづ 買わなきゃ",
012,0x238018,"<@LL,00,00>けんどいきぞ<CF><D1>マリンチケットは 1まい<CD>300¥ぞって 買おっかなZ<*04>",
013,0x23801a,"<@LL,00,00>今は いいや",
014,0x23801c,"<@LL,00,03>お金ァ 足リないや...",
015,0x23801e,"<@LL,00,00>おみくざ町に もでるZ<*04>",
016,0x238020,"<@LL,00,00>チケットァ ないや<CD>けんどいきづ 買わなきゃ",
017,0x238022,"<@LL,00,00>メダロポリスまづは 500¥ぞ<CD>メダロポリスに 行くZ<*04>",
018,0x238024,"<@LL,00,03>お金ァ 足リないや...",
019,0x238026,"<@LL,00,00>ア-スモ-ルまづは 500¥ぞ<CD>ア-スモ-ルに 行くZ<*04>",
020,0x238028,"<@LL,00,00>ひこうざょうまづの きっぴは<CD>300¥ぞ<CF><D1>もでって 来ることを 考えたら<CD>600¥は ひつようぞぜ<CF><D1>ひこうざょうに 行くZ<*04>",
021,0x23802a,"<@LL,00,03>お金ァ 足リないや...",
022,0x23802c,"<@LL,00,05>ヘブンスゲ-トまづ 行くなら<CD>800¥ぞ<CF><D1>ヘブンスゲ-トに 行くZ<*04>",
023,0x23802e,"<@LL,00,03>お金ァ 足リないや...",
024,0x238030,"<@LL,00,05>メダロポリスの ひこうざょうに<CD>行くなら 800¥ぞ<CF><D1>さらに そこから メダロポリスの<CD>えきに 行くなら 300¥ぞ<CF><D1>さいていづも 合計づ 1100¥<CD>持っていないと ダメぞぜ<CF><D1>ひこうざょうに 行くZ<*04>",
025,0x238032,"<@LL,00,03>お金ァ 足リないや...",
026,0x238034,"<@LL,00,00>メダロポリスに 行くなら 300¥ぞ<CD>メダロポリスに 行くZ<*04>",
027,0x238036,"<@LL,00,03>お金ァ 足リないや...",
028,0x238038,"<@RL,12,02>そろそろ ベんきょうァ<CD>こいしい ころかしらZ",
029,0x23803a,"<@RL,11,01>メダリンピック ゆうしょう<CD>おめづとう?<CF><D1>パパも 宇宙に 行きたかったなぁ♥",
030,0x23803c,"「快盗レトルト あらわる?」<CF><D1><@LL,00,07>...レトルトさんァ 色んな町に<CD>出て ざけんを おこしてるぞって?",
031,0x23803e,「快盗レトルト あらわる?<CD>快盗レトルトァ かくちづ<CF><D1>しゅつぶつし 町を さわァしている<CD>もよう...」,
032,0x238040,「...みめい 町を さわァせた<CD>ざけんの はんにんは<CF><D1>しんしゅの ゴキブリに<CD>よるものと はんめい...」,
033,0x238042,"<@RL,1D,00>アリカ また しゅごいとかって<CD>とば出して 行ったわ",
034,0x238044,"<@LL,00,04>こんにちは? ヒカルさん<CF><D1><@RL,0C,01>やあ いらっしゃい<CD><&BUF03>くん",
035,0x238046,"<@LL,00,06>あのっ ヒカルさん?<CD>新聞 貝たんづすけでっ?<CF><D1><@RL,0C,01>そう カレ-なる メダルハンタ-<CD>快盗レトルトとは わたしのこと?",
036,0x238048,"<@LL,00,07>レトルトさんZ<CF><D1><@RL,0B,01>わたしは はかせから せかいざゅうの<CD>レアメダルを あつめるように<CF><D1>言われているのぞ<CD>きみの レアメダルも その1つ<CF><D1><@LL,00,07>レトルトさんって まさかっ<CD>でろぶう?Z<CF><D1><@RL,0B,03>「快盗」ぞ?<CF><D1><@RL,0B,00>それから わたしの パ-トナ-<CD>「メタビ-」の メダル...<CF><D1><@LL,00,07>レトルトさんも レアメダルを?Z<CF><D1><@RL,0B,00>...これは 犬ァ<CD>ひろってきたんぞけでね<CF><D1><@LL,00,05>ガクッ<CF><D1><@LL,00,04>あのっ ぶく レトルトさんと<CD>ちゃんと ロボトルしてみたいづす?<CF><D1><@RL,0B,01>ふふふ いいぞろう づは<CD>わたしを おいかけて 来るァいい",
