(3, ['Model', 'Name', 'IsFemale'], [203, 203, None], [(7, 0), (24, 0), (1, 0)], [False, False, True], None, None, True, None)
256
21146
Index[#version],Model,Name,IsFemale
0,RAP-11\xcb,Won Musket\xcb,\x00
1,PTL-11\xcb,Hidden Buster\xcb,\x00
2,EGL-01\xcb,Leak Head\xcb,\x00
3,HWK-01\xcb,Burn Head\xcb,\x00
4,SWL-01\xcb,Blindness\xcb,\x00
5,PRN-01\xcb,Lost Restore\xcb,\x00
6,RVN-01\xcb,Covetter\xcb,\x00
7,CCD-01\xcb,Beat Surround\xcb,\x00
8,GRH-01\xcb,Topknotton\xcb,\x00
9,CHC-01\xcb,Out Plumber\xcb,\x00
10,TJK-01\xcb,Core Head\xcb,\x00
11,PCK-01\xcb,Interior Decorator\xcb,\x00
12,SLN-11\xcb,Compline\xcb,\x01
13,CNR-01\xcb,Optic Nerve\xcb,\x01
14,PIC-01\xcb,Dispose\xcb,\x01
15,MQT-01\xcb,Suttol\xcb,\x01
16,PTM-01\xcb,Fore Mount\xcb,\x01
17,JPT-01\xcb,Jovian\xcb,\x01
18,CRN-01\xcb,Kind\xcb,\x01
19,DFL-11\xcb,Blanker Expression\xcb,\x00
20,FLS-01\xcb,Melon\xcb,\x00
21,ISE-01\xcb,Shrimpress\xcb,\x00
22,MAN-01\xcb,Without That\xcb,\x00
23,CHS-01\xcb,Discounter\xcb,\x00
24,DGD-01\xcb,Jet Black\xcb,\x00
25,QPD-01\xcb,Love-link\xcb,\x00
26,VBL-01\xcb,Zero G\xcb,\x00
27,DVL-01\xcb,Pikit\xcb,\x00
28,GAG-01\xcb,Endearing\xcb,\x00
29,WCH-11\xcb,Cayenne\xcb,\x01
30,SPN-01\xcb,AAM\xcb,\x01
31,BCY-01\xcb,Max Shout\xcb,\x01
32,MRS-01\xcb,Volcany\xcb,\x01
33,WEA-21\xcb,Death Break\xcb,\x00
34,BOW-01\xcb,Worship\xcb,\x00
35,TLB-01\xcb,Slater\xcb,\x00
36,MMT-01\xcb,Great Buckle\xcb,\x00
37,SRC-01\xcb,Chaser\xcb,\x00
38,IVP-01\xcb,Hunt Human\xcb,\x00
39,HMS-01\xcb,Deformisty\xcb,\x00
40,KBS-01\xcb,Virus Fang\xcb,\x00
41,DHN-01\xcb,Headless\xcb,\x00
42,TIC-01\xcb,Tricky\xcb,\x00
43,LOS-01\xcb,Crawling In\xcb,\x00
44,FLA-01\xcb,Offbeat\xcb,\x00
45,FAW-01\xcb,Long Fawn\xcb,\x00
46,TMN-01\xcb,Trap Bag\xcb,\x01
47,DRI-01\xcb,Gather\xcb,\x01
48,CRK-01\xcb,Viola\xcb,\x01
49,ETH-01\xcb,Grass Water\xcb,\x01
50,KWG-21\xcb,Antenna\xcb,\x00
51,KBT-21\xcb,Missile\xcb,\x00
52,DDO-01\xcb,Hunter\xcb,\x00
53,KLN-01\xcb,Tension Up\xcb,\x00
54,KBT-31\xcb,Improved Missile\xcb,\x00
55,KBT-41\xcb,Prominence\xcb,\x00
56,LHB-11\xcb,Darling\xcb,\x00
57,MWB-11\xcb,Folly\xcb,\x00
58,TIR-11\xcb,Snort Fire\xcb,\x00
59,BAN-11\xcb,Rough Tosakan\xcb,\x00
60,DOG-21\xcb,Head Vulcan\xcb,\x00
