(3, ['Model', 'Name', 'IsFemale'], [203, 203, None], [(7, 0), (24, 0), (1, 0)], [False, False, True], None, None, True, None)
256
30485
Index[#version],Model,Name,IsFemale
0,RAP-14\xcb,Air Pocket\xcb,\x00
1,PTL-14\xcb,Aerial Leg\xcb,\x00
2,EGL-04\xcb,Fly Eager\xcb,\x00
3,HWK-04\xcb,Fly Phone\xcb,\x00
4,SWL-04\xcb,Sparrow Tail\xcb,\x00
5,PRN-04\xcb,Forest Hill\xcb,\x00
6,RVN-04\xcb,Dual Walk\xcb,\x00
7,CCD-04\xcb,Chirp Chirp\xcb,\x00
8,GRH-04\xcb,Hopper\xcb,\x00
9,CHC-04\xcb,Developer\xcb,\x00
10,TJK-04\xcb,Change Blade\xcb,\x00
11,PCK-04\xcb,Folder\xcb,\x00
12,SLN-14\xcb,Songer\xcb,\x01
13,CNR-04\xcb,Weaker\xcb,\x01
14,PIC-04\xcb,Flashy\xcb,\x01
15,MQT-04\xcb,Store\xcb,\x01
16,PTM-04\xcb,Summer Brown\xcb,\x01
17,JPT-04\xcb,Waterfall\xcb,\x01
18,CRN-04\xcb,Crane\xcb,\x01
19,DFL-14\xcb,Floating Bag\xcb,\x00
20,FLS-04\xcb,Donuts Ten\xcb,\x00
21,ISE-04\xcb,Shrimplin\xcb,\x00
22,MAN-04\xcb,Treasured Child\xcb,\x00
23,CHS-04\xcb,Chase Scene\xcb,\x00
24,DGD-04\xcb,Katappo\xcb,\x00
25,QPD-04\xcb,Stretcher\xcb,\x00
26,VBL-04\xcb,And Again\xcb,\x00
27,DVL-04\xcb,Pokot\xcb,\x00
28,GAG-04\xcb,Keystone\xcb,\x00
29,WCH-14\xcb,Pantaloons\xcb,\x01
30,SPN-04\xcb,AATC\xcb,\x01
31,BCY-04\xcb,Tepid Wind\xcb,\x01
32,MRS-04\xcb,Must-touch\xcb,\x01
33,WEA-24\xcb,Death Crawler\xcb,\x00
34,BOW-04\xcb,Petal Heel\xcb,\x00
35,TLB-04\xcb,Scylla\xcb,\x00
36,MMT-04\xcb,That's Meat\xcb,\x00
37,SRC-04\xcb,Four-piece\xcb,\x00
