(3, ['Model', 'Name', 'IsFemale'], [203, 203, None], [(7, 0), (24, 0), (1, 0)], [False, False, True], None, None, True, None)
256
24259
Index[#version],Model,Name,IsFemale
0,RAP-12\xcb,Granule Blow\xcb,\x00
1,PTL-12\xcb,Little Sword\xcb,\x00
2,EGL-02\xcb,Leak Bundle\xcb,\x00
3,HWK-02\xcb,Burn Tube\xcb,\x00
4,SWL-02\xcb,Not See\xcb,\x00
5,PRN-02\xcb,Toe\xcb,\x00
6,RVN-02\xcb,Greed\xcb,\x00
7,CCD-02\xcb,Big Noisy\xcb,\x00
8,GRH-02\xcb,Reviver\xcb,\x00
9,CHC-02\xcb,Boilder\xcb,\x00
10,TJK-02\xcb,Bit Grip\xcb,\x00
11,PCK-02\xcb,Suck Upper\xcb,\x00
12,SLN-12\xcb,Timid Muffler\xcb,\x01
13,CNR-02\xcb,Touch Nerve\xcb,\x01
14,PIC-02\xcb,Waster\xcb,\x01
15,MQT-02\xcb,Brace\xcb,\x01
16,PTM-02\xcb,Suitable\xcb,\x01
17,JPT-02\xcb,Duster\xcb,\x01
18,CRN-02\xcb,Paid\xcb,\x01
19,DFL-12\xcb,Shake\xcb,\x00
20,FLS-02\xcb,Bag Frill\xcb,\x00
21,ISE-02\xcb,Meowmer\xcb,\x00
22,MAN-02\xcb,Councillor\xcb,\x00
23,CHS-02\xcb,Catch Saucer\xcb,\x00
24,DGD-02\xcb,Death Scythe\xcb,\x00
25,QPD-02\xcb,Lucky Arrow\xcb,\x00
26,VBL-02\xcb,Weightless\xcb,\x00
27,DVL-02\xcb,Pukut\xcb,\x00
28,GAG-02\xcb,Petrify\xcb,\x00
29,WCH-12\xcb,Frog Ball\xcb,\x01
30,SPN-02\xcb,ASM\xcb,\x01
31,BCY-02\xcb,Screamer\xcb,\x01
32,MRS-02\xcb,Mount Hemulen\xcb,\x01
33,WEA-22\xcb,Death Missile\xcb,\x00
34,BOW-02\xcb,Forker\xcb,\x00
35,TLB-02\xcb,Harmonica\xcb,\x00
36,MMT-02\xcb,Bucklet\xcb,\x00
37,SRC-02\xcb,Response Drive\xcb,\x00
38,IVP-02\xcb,Hunt Animal\xcb,\x00
39,HMS-02\xcb,Tie Finger\xcb,\x00
40,KBS-02\xcb,Hold Fang\xcb,\x00
