(1, [], [None], [(35, 0)], [True], None, None, True)
256
-1
Index[#version],Entry
0,\x03\x01\x33\x33\x33\x33\x32\x32\x32\x32\x55\x55\x55\x55\x1a\x1d\x07\x64\x64\x64\x11\x23\x23\x10\x03\x11\x23\x23\x23\x03\x11\x23\x23\x10\x03
1,\x01\x01\x52\x52\x52\x52\x00\x00\x00\x00\x00\x00\x00\x00\x15\x08\x08\x0a\x0a\x0a\x12\x30\x23\x23\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
2,\x03\x01\x55\x55\x55\x55\x55\x55\x55\x55\x55\x55\x55\x55\x07\x07\x07\x1e\x1e\x1e\x12\x30\x12\x30\x05\x20\x20\x20\x20\x06\x10\x30\x10\x30\x04
3,\x03\x01\x52\x52\x52\x52\x55\x55\x55\x55\x55\x55\x55\x55\x15\x07\x07\x32\x32\x32\x11\x23\x23\x23\x02\x20\x20\x20\x20\x06\x10\x30\x10\x30\x04
4,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
5,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
6,\x03\x01\x52\x52\x52\x52\x55\x55\x55\x55\x00\x00\x00\x00\x15\x07\x08\x3c\x32\x32\x11\x23\x23\x23\x02\x20\x20\x20\x20\x06\x11\x11\x11\x15\x00
7,\x02\x01\x53\x53\x53\x53\x58\x58\x58\x58\x00\x00\x00\x00\x15\x06\x08\x05\x05\x05\x11\x23\x32\x00\x02\x10\x13\x01\x30\x06\x00\x00\x00\x00\x00
8,\x03\x01\x0c\x0c\x0c\x0c\x53\x53\x53\x53\x53\x53\x53\x53\x06\x15\x15\x28\x28\x28\x14\x44\x45\x55\x00\x10\x10\x10\x10\x07\x23\x12\x31\x01\x06
9,\x03\x01\x53\x53\x53\x53\x0c\x0c\x0c\x0c\x67\x67\x67\x67\x15\x06\x15\x32\x32\x32\x11\x23\x32\x00\x02\x14\x44\x45\x55\x00\x48\x11\x03\x02\x03
10,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
11,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
12,\x03\x01\x53\x53\x53\x53\x0c\x0c\x0c\x0c\x67\x67\x67\x67\x15\x06\x15\x3c\x3c\x3c\x11\x23\x32\x00\x02\x14\x44\x45\x55\x00\x32\x81\x03\x02\x03
13#kabuto,\x01\x01\x34\x34\x34\x34\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x05\x05\x05\x10\x32\x23\x02\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
13#kuwagata,\x01\x01\x35\x35\x35\x35\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x05\x05\x05\x12\x31\x23\x25\x03\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
14#kabuto,\x03\x01\x34\x34\x34\x34\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x0a\x0a\x0a\x10\x32\x23\x02\x04\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
14#kuwagata,\x03\x01\x35\x35\x35\x35\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x0a\x0a\x0a\x12\x31\x23\x25\x03\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
15#kabuto,\x03\x01\x46\x46\x46\x46\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x14\x14\x14\x13\x23\x02\x02\x02\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
15#kuwagata,\x03\x01\x4b\x4b\x4b\x4b\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x14\x14\x14\x11\x23\x80\x23\x05\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
16#kabuto,\x03\x01\x46\x46\x46\x46\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x28\x28\x28\x13\x23\x02\x02\x02\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
16#kuwagata,\x03\x01\x4b\x4b\x4b\x4b\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x28\x28\x28\x11\x23\x80\x23\x05\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
17#kabuto,\x03\x01\x46\x46\x46\x46\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x32\x32\x32\x13\x23\x02\x02\x02\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
17#kuwagata,\x03\x01\x4b\x4b\x4b\x4b\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x32\x32\x32\x11\x23\x80\x23\x05\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
18#kabuto,\x03\x01\x46\x46\x46\x46\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x46\x32\x32\x13\x23\x02\x02\x02\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
18#kuwagata,\x03\x01\x4b\x4b\x4b\x4b\x24\x24\x24\x24\x13\x13\x13\x13\x1d\x04\x08\x46\x32\x32\x11\x23\x80\x23\x05\x21\x31\x21\x31\x00\x23\x10\x23\x10\x06
19,\x01\x01\x54\x54\x54\x54\x00\x00\x00\x00\x00\x00\x00\x00\x17\x08\x08\x00\x00\x00\x42\x23\x32\x11\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
20,\x03\x01\x64\x64\x64\x64\x27\x27\x27\x27\x67\x67\x67\x67\x1a\x17\x15\x32\x32\x32\x81\x10\x11\x05\x01\x13\x10\x33\x30\x00\x32\x81\x03\x02\x03
21,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
22,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
23,\x03\x01\x54\x54\x54\x54\x64\x64\x64\x64\x64\x64\x64\x64\x17\x1a\x1a\x3c\x3c\x3c\x23\x02\x31\x10\x02\x81\x10\x32\x71\x06\x81\x10\x32\x71\x06
24,\x01\x01\x3c\x3c\x3c\x3c\x00\x00\x00\x00\x00\x00\x00\x00\x1a\x08\x08\x00\x00\x00\x23\x02\x31\x10\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
25,\x02\x01\x3c\x3c\x3c\x3c\x2a\x2b\x2c\x2a\x00\x00\x00\x00\x1a\x07\x08\x0a\x0a\x0a\x23\x02\x31\x10\x02\x10\x13\x01\x30\x06\x00\x00\x00\x00\x00
26,\x03\x01\x48\x48\x48\x48\x3c\x3c\x3c\x3c\x42\x42\x42\x42\x07\x1a\x07\x28\x28\x28\x82\x23\x32\x33\x01\x13\x10\x33\x30\x00\x80\x80\x23\x16\x06
27,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
28,\x03\x01\x48\x48\x48\x48\x3c\x3c\x3c\x3c\x42\x42\x42\x42\x07\x1a\x07\x28\x28\x28\x82\x23\x32\x33\x01\x13\x10\x33\x30\x00\x81\x03\x10\x23\x05
